# power spectrum of delta
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.094395e-02   5.750526e-03   0.000000e+00   2.218118e-03   6
  2.961922e-02   3.324010e-02   0.000000e+00   7.490236e-03   12
  3.627599e-02   3.615068e-02   3.973643e-10   1.050957e-02   8
  4.188790e-02   5.329382e-02   0.000000e+00   1.296283e-02   6
  4.683210e-02   7.214346e-02   0.000000e+00   9.207709e-03   24
  5.130199e-02   8.009534e-02   7.492773e-10   1.598558e-02   24
  5.923844e-02   4.338367e-02   0.000000e+00   1.001097e-02   12
  6.283185e-02   1.354765e-01   8.477105e-10   1.450101e-02   30
  6.623059e-02   9.471292e-02   0.000000e+00   1.857360e-02   24
  6.946323e-02   1.464214e-01   1.297786e-09   2.816973e-02   24
  7.255197e-02   3.346074e-01   7.947286e-10   1.129315e-01   8
  7.551449e-02   1.677072e-01   1.059638e-09   3.169276e-02   24
  7.836509e-02   1.394461e-01   0.000000e+00   1.540100e-02   48
  8.377580e-02   1.502550e-01   0.000000e+00   1.265016e-02   6
  8.635412e-02   2.554338e-01   1.498555e-09   2.875159e-02   48
  8.885766e-02   2.269072e-01   0.000000e+00   3.225955e-02   36
  9.129257e-02   1.312326e-01   1.059638e-09   3.600584e-02   24
  9.366420e-02   1.478808e-01   0.000000e+00   3.114757e-02   24
  9.597724e-02   2.179839e-01   0.000000e+00   3.452667e-02   48
  9.823584e-02   3.334889e-01   1.498555e-09   6.020719e-02   24
  1.026040e-01   2.208291e-01   1.498555e-09   4.457088e-02   24
  1.047198e-01   2.744648e-01   0.000000e+00   4.955321e-02   30
  1.067936e-01   3.057364e-01   0.000000e+00   3.223942e-02   72
  1.088280e-01   3.585595e-01   1.589457e-09   6.330727e-02   32
  1.127866e-01   3.349624e-01   0.000000e+00   4.754819e-02   72
  1.147147e-01   2.882765e-01   0.000000e+00   3.877548e-02   48
  1.184769e-01   2.419209e-01   0.000000e+00   4.133664e-02   12
  1.203138e-01   4.238615e-01   0.000000e+00   5.514008e-02   48
  1.221232e-01   4.164445e-01   0.000000e+00   5.661863e-02   48
  1.239061e-01   2.939414e-01   1.498555e-09   4.225216e-02   48
  1.256637e-01   3.150110e-01   1.695421e-09   6.297508e-02   30
  1.273971e-01   3.132864e-01   1.498555e-09   5.251494e-02   24
  1.291072e-01   4.360512e-01   3.159231e-09   3.856822e-02   72
  1.324612e-01   4.186762e-01   0.000000e+00   1.599715e-01   24
  1.341067e-01   5.004661e-01   0.000000e+00   4.712062e-02   96
  1.357323e-01   3.498039e-01   0.000000e+00   4.561399e-02   48
  1.373387e-01   3.991683e-01   2.595573e-09   6.870197e-02   24
  1.389265e-01   7.292949e-01   2.595573e-09   1.192907e-01   24
  1.404963e-01   4.610469e-01   0.000000e+00   5.620866e-02   72
  1.420488e-01   4.949935e-01   0.000000e+00   6.271428e-02   48
  1.451039e-01   5.501943e-01   1.589457e-09   2.587574e-01   8
  1.466077e-01   5.537058e-01   1.883801e-09   6.033285e-02   54
  1.480961e-01   6.989443e-01   0.000000e+00   8.875736e-02   84
  1.495697e-01   4.476859e-01   0.000000e+00   6.657310e-02   48
  1.510290e-01   4.679905e-01   2.119276e-09   1.309358e-01   24
  1.524743e-01   4.497455e-01   1.998073e-09   5.908770e-02   72
  1.539060e-01   4.607473e-01   0.000000e+00   4.521823e-02   96
  1.567302e-01   4.170759e-01   0.000000e+00   5.291115e-02   48
  1.581234e-01   3.992961e-01   0.000000e+00   5.766290e-02   48
  1.595044e-01   3.524971e-01   2.119276e-09   7.187485e-02   24
  1.608735e-01   4.189291e-01   0.000000e+00   4.778754e-02   72
  1.635775e-01   5.486126e-01   1.998073e-09   6.322594e-02   72
  1.649128e-01   5.413086e-01   0.000000e+00   5.087188e-02   96
  1.675516e-01   2.730772e-01   0.000000e+00   1.037447e-01   6
  1.688555e-01   6.037914e-01   0.000000e+00   6.431947e-02   96
  1.701495e-01   5.611772e-01   2.119276e-09   5.792087e-02   96
  1.714336e-01   8.539598e-01   0.000000e+00   1.633501e-01   24
  1.727082e-01   5.424075e-01   2.997109e-09   7.713622e-02   48
  1.739735e-01   4.914500e-01   0.000000e+00   5.524466e-02   96
  1.752297e-01   4.033542e-01   0.000000e+00   6.282540e-02   48
  1.777153e-01   7.725057e-01   0.000000e+00   1.270145e-01   36
  1.789452e-01   4.738229e-01   3.670694e-09   9.833862e-02   48
  1.801667e-01   5.557746e-01   4.152916e-09   5.558258e-02   120
  1.813799e-01   7.773000e-01   0.000000e+00   1.171194e-01   56
  1.825851e-01   3.991761e-01   2.119276e-09   1.017743e-01   24
  1.837824e-01   4.758845e-01   0.000000e+00   4.679962e-02   96
  1.849720e-01   7.538977e-01   0.000000e+00   1.017277e-01   48
  1.873284e-01   5.504678e-01   0.000000e+00   1.134277e-01   24
  1.884956e-01   7.096316e-01   0.000000e+00   7.052423e-02   102
  1.896555e-01   7.647495e-01   0.000000e+00   1.420415e-01   48
  1.908085e-01   6.886424e-01   0.000000e+00   7.089695e-02   72
  1.919545e-01   6.213852e-01   0.000000e+00   8.427811e-02   48
  1.930937e-01   8.645053e-01   0.000000e+00   1.407959e-01   48
  1.942262e-01   6.491438e-01   4.795375e-09   6.198716e-02   120
  1.964717e-01   4.371738e-01   2.997109e-09   1.031962e-01   24
  1.975848e-01   7.202584e-01   2.825702e-09   5.754538e-02   144
  1.986918e-01   5.769888e-01   3.390842e-09   4.742127e-02   120
  1.997926e-01   8.517769e-01   2.997109e-09   1.271622e-01   48
  2.019761e-01   5.553635e-01   2.997109e-09   9.896445e-02   48
  2.030591e-01   5.749726e-01   2.997109e-09   6.528335e-02   96
  2.059187e-01   7.553532e-01   5.025279e-04   9.917769e-02   72
  2.073345e-01   7.012994e-01   3.767602e-09   6.795928e-02   108
  2.083897e-01   6.012420e-01   0.000000e+00   6.474677e-02   72
  2.094395e-01   7.392277e-01   0.000000e+00   9.642004e-02   30
  2.104841e-01   8.509774e-01   0.000000e+00   6.701106e-02   168
  2.115235e-01   9.782750e-01   0.000000e+00   1.414507e-01   48
  2.135872e-01   8.364727e-01   0.000000e+00   1.191267e-01   72
  2.146116e-01   1.035954e+00   0.000000e+00   9.464460e-02   96
  2.156312e-01   7.468361e-01   5.651403e-09   8.300499e-02   72
  2.166459e-01   8.370644e-01   0.000000e+00   8.105610e-02   72
  2.183519e-01   7.058894e-01   4.640051e-04   6.267709e-02   104
  2.196620e-01   7.393194e-01   3.996146e-09   6.671996e-02   144
  2.226373e-01   1.030646e+00   6.701740e-09   1.246223e-01   96
  2.236202e-01   7.600217e-01   0.000000e+00   8.026957e-02   96
  2.251835e-01   5.952229e-01   4.773581e-04   4.867301e-02   120
  2.265435e-01   8.177651e-01   0.000000e+00   7.200151e-02   120
  2.275095e-01   8.090883e-01   0.000000e+00   7.337875e-02   72
  2.294295e-01   1.342917e+00   0.000000e+00   2.104251e-01   48
  2.303835e-01   6.593152e-01   4.517777e-09   6.820396e-02   78
  2.316038e-01   7.131938e-01   4.274285e-04   5.156164e-02   168
  2.341605e-01   8.652891e-01   3.996146e-09   1.075966e-01   144
  2.350953e-01   9.799053e-01   3.996146e-09   7.710417e-02   144
  2.378065e-01   9.359630e-01   2.461643e-04   7.316651e-02   156
  2.387978e-01   6.871872e-01   5.191145e-09   8.507054e-02   48
  2.397145e-01   8.236737e-01   3.390842e-09   8.152673e-02   120
  2.406277e-01   9.225494e-01   0.000000e+00   1.440499e-01   48
  2.422424e-01   8.398111e-01   3.767994e-04   5.534009e-02   216
  2.442463e-01   8.288585e-01   0.000000e+00   1.329195e-01   48
  2.451427e-01   8.168697e-01   2.997109e-09   8.502464e-02   96
  2.464171e-01   8.973936e-01   4.403490e-04   6.614094e-02   168
  2.478122e-01   1.038561e+00   2.997109e-09   1.452863e-01   48
  2.486956e-01   8.742866e-01   0.000000e+00   7.508413e-02   96
  2.495760e-01   6.247845e-01   0.000000e+00   7.998633e-02   48
  2.513274e-01   6.893444e-01   3.390842e-09   1.562620e-01   30
  2.521986e-01   9.869449e-01   2.997109e-09   7.795630e-02   96
  2.532398e-01   9.959931e-01   3.460752e-04   7.282075e-02   240
  2.545786e-01   8.055287e-01   3.733652e-04   1.011085e-01   32
  2.556535e-01   9.093993e-01   0.000000e+00   6.929153e-02   168
  2.565100e-01   9.226196e-01   0.000000e+00   7.946873e-02   120
  2.582144e-01   9.170870e-01   6.318461e-09   1.227794e-01   72
  2.590624e-01   9.150138e-01   3.996146e-09   7.333486e-02   144
  2.599076e-01   8.639149e-01   0.000000e+00   1.030854e-01   96
  2.607501e-01   9.252367e-01   0.000000e+00   1.044741e-01   96
  2.624270e-01   1.571270e+00   4.894259e-09   1.605599e-01   72
  2.632614e-01   8.985622e-01   4.238553e-09   1.078162e-01   96
  2.649224e-01   1.433282e+00   0.000000e+00   6.029139e-01   24
  2.657489e-01   1.048149e+00   0.000000e+00   6.673496e-02   192
  2.667223e-01   8.724432e-01   3.168444e-04   7.301590e-02   132
  2.682134e-01   9.667590e-01   0.000000e+00   8.591433e-02   96
  2.690299e-01   9.233410e-01   0.000000e+00   1.251604e-01   96
  2.698439e-01   8.862793e-01   3.390842e-09   1.158988e-01   120
  2.714646e-01   1.071031e+00   0.000000e+00   1.726357e-01   48
  2.727931e-01   1.143352e+00   3.839899e-04   7.661694e-02   222
  2.738777e-01   7.085218e-01   0.000000e+00   6.458407e-02   120
  2.746773e-01   8.677746e-01   5.191145e-09   2.096874e-01   24
  2.758416e-01   1.133846e+00   3.963334e-04   6.814432e-02   312
  2.783784e-01   1.094343e+00   3.715784e-04   1.297139e-01   72
  2.794272e-01   1.171029e+00   2.997109e-09   1.501296e-01   96
  2.805041e-01   9.671591e-01   3.784012e-04   7.910653e-02   192
  2.817720e-01   1.156302e+00   4.795375e-09   1.002224e-01   120
  2.825493e-01   1.123830e+00   0.000000e+00   1.034005e-01   144
  2.840976e-01   1.051978e+00   0.000000e+00   1.612614e-01   48
  2.851981e-01   1.088865e+00   3.804956e-04   5.494654e-02   336
  2.864042e-01   9.743778e-01   0.000000e+00   1.673274e-01   48
  2.879317e-01   9.135879e-01   0.000000e+00   7.631915e-02   192
  2.886924e-01   7.235500e-01   0.000000e+00   8.204479e-02   48
  2.908548e-01   8.268890e-01   2.641139e-04   8.933863e-02   56
  2.919300e-01   1.052102e+00   3.392119e-04   5.886949e-02   336
  2.932153e-01   1.025397e+00   3.767602e-09   1.423014e-01   54
  2.943349e-01   1.142468e+00   3.725765e-04   7.729871e-02   240
  2.966593e-01   8.634337e-01   3.567449e-04   5.110777e-02   228
  2.976695e-01   9.546267e-01   3.996146e-09   1.337928e-01   72
  2.986501e-01   1.009195e+00   3.460513e-04   7.952819e-02   144
  2.998717e-01   9.084945e-01   0.000000e+00   9.492447e-02   96
  3.006022e-01   1.023288e+00   4.795375e-09   6.185461e-02   240
  3.020580e-01   1.020966e+00   4.238553e-09   2.099972e-01   24
  3.029899e-01   1.023001e+00   3.268428e-04   6.314862e-02   336
  3.042285e-01   1.072193e+00   0.000000e+00   1.117205e-01   72
  3.053590e-01   1.163015e+00   3.555020e-04   9.441733e-02   168
  3.063836e-01   1.504104e+00   0.000000e+00   1.600146e-01   72
  3.078120e-01   1.394831e+00   0.000000e+00   1.517322e-01   96
  3.089181e-01   8.734030e-01   3.528351e-04   6.759838e-02   216
  3.099422e-01   9.798887e-01   4.238553e-09   1.438539e-01   96
  3.113542e-01   1.118924e+00   0.000000e+00   7.714415e-02   192
  3.120578e-01   1.386952e+00   3.996146e-09   1.148499e-01   144
  3.134604e-01   8.482781e-01   0.000000e+00   1.152284e-01   48
  3.144314e-01   1.136894e+00   3.401745e-04   7.041450e-02   246
  3.157508e-01   1.253468e+00   3.136463e-04   1.019488e-01   168
  3.169395e-01   1.236590e+00   5.873111e-09   1.317656e-01   120
  3.176307e-01   1.235980e+00   0.000000e+00   9.029769e-02   240
  3.190088e-01   1.741015e+00   4.238553e-09   2.810824e-01   24
  3.201067e-01   1.131080e+00   3.357307e-04   5.731691e-02   360
  3.214741e-01   1.247151e+00   3.343020e-04   1.102606e-01   120
  3.224280e-01   1.377973e+00   0.000000e+00   1.102333e-01   144
  3.231075e-01   1.563664e+00   0.000000e+00   1.838386e-01   96
  3.251376e-01   1.366476e+00   0.000000e+00   1.224804e-01   144
  3.258114e-01   1.204708e+00   0.000000e+00   9.810672e-02   132
  3.267584e-01   1.129628e+00   3.299511e-04   9.057113e-02   176
  3.281332e-01   1.036790e+00   3.331842e-04   6.252957e-02   312
  3.298257e-01   1.131659e+00   0.000000e+00   1.169692e-01   96
  3.304900e-01   1.185681e+00   0.000000e+00   9.166278e-02   144
  3.315092e-01   1.218819e+00   3.298422e-04   7.393845e-02   312
  3.331339e-01   6.520801e-01   0.000000e+00   1.134958e-01   48
  3.337917e-01   1.251126e+00   4.238553e-09   9.052315e-02   192
  3.351032e-01   4.763545e-01   0.000000e+00   3.227327e-02   6
  3.359746e-01   1.052182e+00   3.076337e-04   6.405072e-02   288
  3.373860e-01   1.128382e+00   3.250350e-04   7.356015e-02   192
  3.383599e-01   1.222129e+00   9.968139e-09   9.663354e-02   216
  3.390075e-01   1.232989e+00   0.000000e+00   1.382842e-01   72
  3.406209e-01   1.211687e+00   3.219482e-04   9.135909e-02   192
  3.416924e-01   1.166412e+00   2.390639e-04   7.589319e-02   288
  3.428673e-01   1.440856e+00   0.000000e+00   3.439642e-01   24
  3.437749e-01   1.108260e+00   3.149468e-04   5.343545e-02   456
  3.454165e-01   8.739539e-01   5.994218e-09   1.136743e-01   48
  3.464308e-01   1.202626e+00   3.102100e-04   7.130761e-02   240
  3.475965e-01   1.207588e+00   3.135021e-04   8.661500e-02   216
  3.485768e-01   1.350004e+00   0.000000e+00   1.499610e-01   72
  3.492054e-01   1.707285e+00   1.083165e-08   1.233595e-01   168
  3.509804e-01   1.133999e+00   2.330216e-04   7.635907e-02   288
  3.519758e-01   1.160911e+00   3.083274e-04   8.298859e-02   168
  3.535746e-01   1.009453e+00   0.000000e+00   9.251063e-02   192
  3.541944e-01   1.428383e+00   3.996146e-09   1.081466e-01   144
  3.554306e-01   1.670639e+00   0.000000e+00   2.386301e-01   36
  3.564791e-01   1.271230e+00   2.815685e-04   6.602133e-02   342
  3.574815e-01   1.488855e+00   2.891367e-04   1.309773e-01   144
  3.587701e-01   1.282919e+00   3.032320e-04   7.783594e-02   384
  3.603334e-01   1.153912e+00   8.305833e-09   1.007606e-01   120
  3.611071e-01   1.590590e+00   2.703947e-04   9.665317e-02   264
  3.621548e-01   1.220203e+00   1.340348e-08   1.000468e-01   192
  3.631414e-01   1.196261e+00   2.914020e-04   9.688809e-02   152
  3.639671e-01   1.386956e+00   7.992291e-09   1.279444e-01   144
  3.657037e-01   1.309159e+00   1.885982e-04   9.073274e-02   216
  3.665075e-01   1.416334e+00   2.520176e-04   7.890032e-02   312
  3.679226e-01   1.248104e+00   2.920833e-04   7.946644e-02   240
  3.687563e-01   9.312808e-01   4.238553e-09   9.839455e-02   96
  3.703389e-01   1.267469e+00   2.792528e-04   1.406074e-01   144
  3.713142e-01   1.045989e+00   2.744809e-04   5.713101e-02   456
  3.728964e-01   1.243372e+00   0.000000e+00   1.170885e-01   120
  3.734841e-01   1.158043e+00   0.000000e+00   1.164345e-01   144
  3.746568e-01   1.034618e+00   0.000000e+00   2.025343e-01   24
  3.754086e-01   1.188167e+00   2.638397e-04   6.548828e-02   336
  3.767088e-01   1.281957e+00   2.909793e-04   9.536978e-02   198
  3.779272e-01   1.277782e+00   2.829607e-04   6.117495e-02   432
  3.793111e-01   1.217240e+00   0.000000e+00   1.692954e-01   48
  3.800331e-01   1.385037e+00   2.498053e-04   7.656268e-02   384
  3.813294e-01   1.102000e+00   2.875789e-04   8.849210e-02   144
  3.825040e-01   1.365010e+00   2.855280e-04   9.936370e-02   264
  3.839090e-01   1.344521e+00   0.000000e+00   1.723086e-01   48
  3.848516e-01   1.424790e+00   2.714905e-04   8.276796e-02   276
  3.857611e-01   1.202917e+00   2.460988e-04   9.654377e-02   192
  3.869766e-01   1.180846e+00   2.765609e-04   5.374455e-02   552
  3.884524e-01   1.427226e+00   9.590750e-09   1.526908e-01   120
  3.893296e-01   1.311742e+00   2.799479e-04   8.609696e-02   216
  3.901426e-01   1.682927e+00   4.795375e-09   1.444533e-01   120
  3.915948e-01   1.242648e+00   2.756800e-04   6.094077e-02   408
  3.929434e-01   1.103837e+00   5.994218e-09   2.023671e-01   24
  3.937796e-01   1.255337e+00   2.784864e-04   6.968468e-02   384
  3.949475e-01   1.508258e+00   2.720912e-04   9.267005e-02   240
  3.959617e-01   1.559590e+00   2.740837e-04   1.223937e-01   168
  3.973835e-01   1.336137e+00   6.781684e-09   1.193923e-01   120
  3.983001e-01   1.285279e+00   2.857179e-04   6.630360e-02   350
  3.997906e-01   1.585822e+00   4.703469e-04   8.853821e-02   384
  4.006814e-01   1.454809e+00   0.000000e+00   1.376664e-01   144
  4.023202e-01   1.312617e+00   1.130281e-08   7.534473e-02   288
  4.031758e-01   1.544036e+00   2.692323e-04   8.870608e-02   336
  4.043399e-01   1.301274e+00   2.451137e-04   1.010032e-01   168
  4.050367e-01   1.307182e+00   4.844060e-09   6.244187e-02   336
  4.064781e-01   1.226234e+00   2.544134e-04   7.537405e-02   288
  4.073437e-01   1.458040e+00   2.397224e-04   1.019790e-01   264
  4.088096e-01   1.498830e+00   0.000000e+00   1.128692e-01   240
  4.093458e-01   1.261974e+00   8.477105e-09   1.631633e-01   96
  4.112700e-01   1.556678e+00   3.260064e-04   9.106881e-02   360
  4.121680e-01   1.518631e+00   2.403227e-04   1.384000e-01   168
  4.133027e-01   1.301951e+00   2.619767e-04   6.107548e-02   456
  4.146691e-01   1.412736e+00   7.535204e-09   1.352896e-01   108
  4.154376e-01   1.241973e+00   2.628599e-04   7.138138e-02   264
  4.163964e-01   1.230654e+00   2.345138e-04   8.170265e-02   264
  4.177093e-01   1.383414e+00   2.212980e-04   7.797211e-02   312
  4.193442e-01   1.227126e+00   1.644485e-04   7.982075e-02   270
  4.200293e-01   1.517386e+00   2.087881e-04   9.673220e-02   240
  4.212611e-01   1.451162e+00   2.582972e-04   7.972651e-02   384
  4.220089e-01   1.312618e+00   0.000000e+00   8.612207e-02   192
  4.234616e-01   1.405747e+00   2.072491e-04   9.277470e-02   240
  4.243042e-01   1.569440e+00   2.557789e-04   1.065037e-01   336
  4.258889e-01   1.313745e+00   2.574903e-04   5.756759e-02   480
  4.271745e-01   1.910506e+00   0.000000e+00   2.791138e-01   72
  4.278926e-01   1.337747e+00   2.510765e-04   7.922742e-02   240
  4.288693e-01   1.578220e+00   2.359775e-04   9.365858e-02   312
  4.299890e-01   1.405546e+00   2.550351e-04   8.656032e-02   240
  4.316809e-01   1.508142e+00   1.937606e-04   7.688306e-02   408
  4.323507e-01   1.350312e+00   1.774381e-04   8.663869e-02   336
  4.336597e-01   1.540282e+00   2.253026e-04   9.751899e-02   264
  4.343030e-01   1.391168e+00   0.000000e+00   1.189178e-01   144
  4.360928e-01   1.296742e+00   3.122828e-04   6.074858e-02   464
  4.370358e-01   1.753280e+00   2.483289e-04   1.478661e-01   168
  4.379668e-01   1.580745e+00   2.261734e-04   1.000532e-01   336
  4.396494e-01   1.527349e+00   2.376394e-04   8.227512e-02   414
  4.405979e-01   1.565335e+00   2.473686e-04   1.231487e-01   216
  4.418131e-01   2.052466e+00   5.994218e-09   2.113272e-01   96
  4.423093e-01   1.602591e+00   1.798266e-08   7.966421e-02   384
  4.440474e-01   1.613533e+00   2.468906e-04   8.433320e-02   492
  4.449788e-01   1.793332e+00   2.414379e-04   1.173573e-01   240
  4.460316e-01   1.522893e+00   2.451440e-04   8.925891e-02   312
  4.474855e-01   1.137739e+00   2.450633e-04   8.808629e-02   192
  4.484064e-01   1.516648e+00   2.374960e-04   6.886805e-02   504
  4.496283e-01   1.586758e+00   1.572264e-04   8.792458e-02   408
  4.505903e-01   1.520423e+00   4.816826e-04   1.291956e-01   168
  4.517942e-01   1.845351e+00   2.288035e-04   1.319926e-01   288
  4.528044e-01   1.520526e+00   2.387760e-04   8.944062e-02   288
  4.538392e-01   1.272959e+00   2.401504e-04   5.932992e-02   432
  4.553403e-01   1.699048e+00   2.271023e-04   1.463569e-01   216
  4.561423e-01   1.617651e+00   2.266232e-04   9.456300e-02   360
  4.575702e-01   1.686461e+00   2.211821e-04   1.093057e-01   312
  4.588590e-01   2.015064e+00   0.000000e+00   3.221399e-01   48
  4.596018e-01   1.666932e+00   2.371390e-04   8.354414e-02   432
  4.609323e-01   1.640228e+00   3.955503e-04   7.649047e-02   414
  4.617179e-01   1.385512e+00   2.086672e-08   9.117833e-02   312
  4.631837e-01   1.422191e+00   3.470734e-04   6.925383e-02   528
  4.641728e-01   1.501893e+00   1.821841e-04   1.002583e-01   264
  4.653612e-01   1.732001e+00   2.160204e-04   9.082486e-02   480
